,DATASET,COMPRESSION_TYPE,IMAGE,COMPRESSION_LEVEL,ACCURACY,F1_SCORE,MCC,JACCARD
154,comofod,JPEG,18,2,0.9914398193359375,0.0,,0.0
155,comofod,JPEG,18,3,0.9914398193359375,0.0,,0.0
156,comofod,JPEG,18,4,0.9918289184570312,0.08928571428571429,0.21236429761404432,0.04672897196261682
157,comofod,JPEG,18,5,0.9918365478515625,0.09013605442176871,0.21440478069236452,0.04719501335707925
158,comofod,JPEG,18,6,0.991973876953125,0.12040133779264214,0.2488122998513182,0.06405693950177936
159,comofod,JPEG,18,7,0.9919281005859375,0.11092436974789915,0.23791688834617714,0.05871886120996441
160,comofod,JPEG,18,8,0.9920921325683594,0.14374225526641884,0.27495801241844947,0.0774365821094793
161,comofod,JPEG,18,9,0.9918899536132812,0.1014370245139476,0.22838189143279874,0.053428317008014245
162,comofod,JPEG,19,1,0.9829559326171875,0.0,,0.0
163,comofod,JPEG,19,2,0.9829559326171875,0.0,,0.0
164,comofod,JPEG,19,3,0.9829559326171875,0.0,,0.0
165,comofod,JPEG,19,4,0.9833564758300781,0.046755516714004804,0.1519954193464135,0.023937360178970916
166,comofod,JPEG,19,5,0.9833412170410156,0.045047015088563305,0.1490712054999683,0.023042505592841163
167,comofod,JPEG,19,6,0.9834671020507812,0.05986984815618221,0.17172941232219885,0.030858676207513418
168,comofod,JPEG,19,7,0.9834442138671875,0.05734144222415291,0.16784149803896445,0.029516994633273702
169,comofod,JPEG,19,8,0.9839210510253906,0.11207078154623973,0.23613100860011144,0.059361749609462174
170,comofod,JPEG,19,9,0.9836502075195312,0.08104631217838765,0.20018320173447268,0.04223463687150838
171,comofod,JPEG,20,1,0.9893035888671875,0.0,,0.0
172,comofod,JPEG,20,2,0.9893035888671875,0.0,,0.0
173,comofod,JPEG,20,3,0.9893035888671875,0.0,,0.0
174,comofod,JPEG,20,4,0.9893035888671875,0.0,,0.0
175,comofod,JPEG,20,5,0.9893035888671875,0.0,,0.0
176,comofod,JPEG,20,6,0.9897842407226562,0.09035326086956522,0.2110727666442425,0.04731412308786909
177,comofod,JPEG,20,7,0.9898719787597656,0.1051567239635996,0.2294726309938605,0.05549626467449306
178,comofod,JPEG,20,8,0.9905662536621094,0.22208241585404215,0.34241514854323146,0.12491153573956122
179,comofod,JPEG,20,9,0.9897918701171875,0.0941096817874069,0.21305782626193806,0.04937833037300177
